Blog	here	want	how	re	best	much	life	things	had	easy	has	right	old	people	support	time	love	working	so	years	didn	one	say	take	going	where	many	being	around	world	her	am	an	as	at	past	more	company	its	really	also	see	makes	d	be	by	into	up	us	ago	video	let	great	next	this	could	system	should	ve	site	off	web	become	does	problem	told	work	after	then	them	they	another	what	just	do	we	photo	night	post	way	was	change	live	can	still	not	now	year	than	online	only	these	media	real	read	using	t	business	your	lot	you	since	very	actually	during	won	probably	both	look	while	used	game	some	go	camera	started	including	him	need	based	she	i	well	twitter	home	he	even	new	ever	never	before	better	went	content	isn	don	m	said	three	if	make	down	me	did	making	sunday	may	talk	morning	thing	think	first	little	were	show	get	doesn	those	same	money	again	two	through	everyone	house	hard	idea	most	find	big	bit	google	back	from	ll	day	have	thought	like	about	but	every	would	phone	my	over	each	got	free	days	too	took	report	full	news	been	everything	who	no	when	today	trump	name	place	any	come	good	week	without	blog	or	there	all	design	might	friday	story	nothing	part	his	are	long	called	once	use	few	something	own	our	out	their	which	why	last	will	other	know	because	lead	made	book
Latest from Crooks and Liars	0	0	4	7	3	1	0	1	5	0	7	3	0	1	0	6	2	1	6	3	1	9	1	4	9	3	1	1	1	1	6	0	7	11	6	0	8	0	0	1	0	3	1	4	13	5	2	3	0	0	0	3	1	0	15	0	1	1	5	0	2	0	0	4	0	1	2	2	8	5	13	0	6	3	1	7	0	3	0	1	8	0	0	1	0	11	2	3	5	0	2	1	1	1	7	1	3	0	1	0	12	1	0	1	4	0	0	2	0	1	0	1	3	1	0	1	0	2	0	0	5	8	1	0	0	5	1	2	0	0	4	0	0	0	0	0	0	3	1	8	2	0	1	4	4	6	1	0	2	3	3	5	0	2	1	2	0	1	3	3	0	5	0	0	5	0	0	1	0	2	0	0	3	9	0	2	12	1	0	9	7	2	3	0	2	3	0	2	0	0	0	1	11	0	0	2	2	2	5	2	0	13	0	0	2	1	0	4	0	0	8	9	3	0	0	0	0	1	1	5	6	0	1	0	0	0	1	1	1	6	4	2	2	1	7	2	2	1	2	3	0
Creating Passionate Users	1	1	3	1	0	1	0	1	0	0	2	0	0	1	0	3	1	0	2	0	0	1	0	0	2	0	0	0	0	0	0	1	3	1	4	0	4	0	1	1	0	2	0	0	2	0	0	1	0	0	0	0	1	1	6	1	0	0	3	1	0	1	0	2	0	0	1	0	0	0	0	0	3	2	2	2	1	0	4	0	2	1	0	2	0	2	0	0	0	0	0	1	0	0	0	0	2	0	4	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	11	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	2	1	0	1	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	3	3	1	2	0	3	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	2	0	0	3	1	2	4	2	1	0	1	1	0	0	4	0	0	0	0	1	1	1	1	1	0	1	1	1	2	1	0	0	0	0	0
Kotaku	1	0	1	1	9	1	0	2	2	0	6	0	0	1	0	4	3	0	3	3	1	6	0	1	0	0	3	2	5	2	0	1	6	1	0	1	34	0	6	4	1	0	1	0	2	1	4	2	0	1	4	0	2	0	5	1	0	0	2	0	3	2	1	2	0	0	1	1	0	1	2	1	1	2	2	1	0	0	0	0	5	0	0	5	2	0	0	0	2	1	0	3	0	0	25	0	11	1	7	4	11	1	3	1	0	0	1	1	0	1	0	10	9	0	2	0	0	1	2	0	0	21	1	0	1	1	2	8	2	0	0	1	0	0	1	3	0	0	0	2	0	3	1	2	2	4	0	1	0	1	2	3	0	2	1	2	2	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	8	1	2	6	1	3	6	9	1	1	0	2	1	1	1	0	0	2	0	0	2	0	4	0	4	1	2	1	0	1	0	1	1	2	2	1	0	6	0	5	0	1	0	2	0	1	2	5	1	1	0	0	1	0	0	1	2	4	0	1	1	2	3	2	1	2	1	0
The Write News	0	0	0	0	0	0	0	0	0	0	6	0	1	4	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	2	3	0	16	2	1	0	0	0	0	0	0	1	2	0	0	0	5	0	0	1	4	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	0	0	5	0	2	0	0	0	0	3	0	15	0	3	0	0	0	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	10	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	3	1	0	0	2	3	0	0	0	0	0	0
Quick Online Tips	1	2	15	0	4	1	0	0	0	3	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	12	0	10	3	0	0	0	1	0	0	1	1	2	0	0	0	0	1	1	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	2	0	0	11	5	2	1	0	2	0	1	4	0	0	0	0	0	1	0	23	0	1	0	10	0	10	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	6	1	0	0	3	0	1	0	1	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	22	0	3	0	0	5	0	1	0	2	0	0	0	1	0	0	0	3	0	0	0	0	10	0	0	0	0	0	0	1	0	17	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	1	0	4	3	2	0	1	1	0	0	1	1	1	4	1	0	3	0	0	0	0	0	5
Derek Powazek	6	1	7	7	1	1	5	1	3	2	5	4	2	2	0	4	1	0	7	5	1	13	3	1	4	0	1	0	1	3	9	3	5	10	7	0	6	1	1	2	2	3	0	2	7	5	4	11	4	2	0	1	5	1	9	1	0	1	11	2	1	1	0	0	0	0	3	4	7	2	6	3	9	11	7	7	0	2	3	0	13	1	2	8	4	6	10	4	2	2	1	2	2	0	0	1	10	1	6	1	19	1	1	0	0	0	1	2	0	1	1	0	3	4	1	2	0	2	1	0	7	69	2	1	0	5	1	5	1	3	1	0	3	1	0	4	12	3	4	9	1	2	15	4	0	0	0	3	2	4	4	3	7	2	3	6	0	1	3	3	2	9	1	1	0	3	0	2	1	1	0	0	2	5	4	2	3	1	9	9	14	3	0	0	22	5	1	1	0	4	2	3	0	1	1	8	2	1	2	11	2	0	0	0	0	3	1	3	0	1	5	7	10	1	1	2	3	0	2	3	11	1	0	2	0	5	8	2	3	9	4	2	1	7	5	3	6	3	0	2	6
Captain's Quarters	0	0	1	0	1	0	0	0	3	0	7	0	0	0	0	1	1	0	0	2	1	2	0	1	0	0	0	0	0	1	1	0	1	4	5	1	3	0	3	0	2	0	0	0	4	4	2	1	3	1	0	0	0	1	1	0	3	2	0	1	1	0	1	0	0	1	1	3	0	0	2	1	0	0	0	1	0	0	1	0	1	1	0	1	1	3	0	0	2	0	1	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	3	1	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	3	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	2	3	0	2	2	0	0	3	1	0	1	0	2	1	1	1	0	0	1	0	0	0	1	2	0	1	1	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	1	0	6	0	0	0	1	1	1	0	0	0	4	6	0	0	0	5	2	0	0	0	0	0
ThinkProgress	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	1	5	0	1	0	4	0	1	1	0	4	1	8	0	0	0	0	0	1	0	2	3	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	0	0	2	0	0	0	3	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	3	0	1	0	2	1	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	1	0	3	0	1	0	1	0	0	0	2	0	0	0	0	0	2	0	1	1	1	0	0	0	0	1	2	1	0	2	0	0	1	0	0	0	0	0	2	0	0	3	0	0	1	0	1	2	0	0	0	0	0	0	1	1	1	1	0	2	2	0	1	3	1	0	8	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	1	2	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0
blog maverick	0	0	1	0	0	0	0	0	1	0	1	2	0	1	0	2	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	1	1	0	2	1	0	0	0	0	0	0	2	4	2	1	3	1	0	1	0	0	5	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	2	0	3	8	0	0	0	0	3	0	2	1	0	5	1	2	4	0	0	0	2	2	0	0	4	0	1	0	5	0	2	0	0	0	0	0	0	1	0	0	3	3	0	1	0	1	0	0	0	11	0	0	0	1	2	1	0	0	0	1	0	0	2	2	1	1	0	2	0	0	2	0	0	0	2	0	0	0	1	0	0	2	0	1	0	0	0	3	0	0	1	1	0	0	0	1	4	0	0	0	2	3	0	2	6	0	2	2	2	1	1	3	4	0	0	0	1	1	0	2	0	1	4	2	2	1	3	3	0	2	0	0	1	0	0	2	0	0	4	4	2	0	0	0	0	1	0	0	6	2	1	0	1	0	0	0	3	2	1	1	1	0	1	1	1	0	0	0	0
pharyngula	4	1	0	1	0	0	0	0	2	0	1	2	0	0	0	1	0	0	2	0	0	3	0	0	2	0	1	0	2	0	0	0	3	6	2	0	3	0	1	0	3	3	0	0	2	2	1	1	0	1	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	6	1	1	0	1	3	0	0	0	0	5	0	0	2	0	2	2	1	1	0	2	2	0	1	0	0	4	0	1	2	7	0	1	1	1	1	0	1	1	0	0	0	1	3	0	1	0	0	0	0	0	10	0	0	0	0	0	0	1	0	1	0	0	0	0	2	2	0	0	1	0	4	6	0	0	0	2	0	0	1	4	1	1	1	1	2	0	0	1	0	0	1	1	0	2	0	0	0	0	0	1	0	1	2	1	0	11	0	1	1	2	1	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	3	4	0	0	0	2	0	0	0	0	0	0	1	1	3	0	1	19	1	0	0	0	4	2	2	0	2	0	0	1	0	0	3	4	1	0	2	1	2	1	0	1	0
43 Folders	28	26	60	48	14	37	32	55	26	5	28	24	10	54	3	46	15	7	75	16	8	47	21	10	7	20	20	17	10	13	17	14	45	123	78	8	69	2	9	77	27	18	5	45	96	101	21	45	21	3	14	17	14	3	97	24	4	16	40	2	13	10	12	5	15	6	59	10	25	22	48	10	73	70	74	67	2	5	2	36	84	13	8	85	20	120	41	14	36	1	22	24	2	19	43	8	128	8	83	39	312	5	29	14	2	10	8	8	5	10	6	2	28	21	0	2	8	12	21	2	29	469	24	4	6	39	50	28	26	26	13	27	2	1	0	46	47	14	3	59	45	9	82	13	11	0	15	22	7	33	31	29	28	16	4	50	18	27	9	5	10	10	7	8	2	16	6	41	10	25	7	2	25	34	37	16	74	10	68	105	93	12	20	1	188	29	13	2	8	7	14	2	0	7	1	31	12	70	37	30	13	0	3	7	38	5	26	11	12	5	105	33	58	10	16	2	6	7	17	28	50	21	3	4	11	13	23	13	35	44	19	45	32	13	53	22	40	57	2	28	25
Autoblog	4	0	4	0	3	1	0	0	0	0	9	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	4	6	6	0	0	0	3	1	0	39	2	0	2	3	0	5	0	0	0	0	2	4	41	1	1	0	4	0	7	0	0	0	0	4	3	0	0	0	0	0	0	5	0	5	3	3	0	0	4	0	0	7	0	4	1	1	0	0	0	0	0	3	0	1	13	0	0	1	8	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	9	0	0	3	1	0	0	0	2	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	6	5	3	0	1	0	0	4	0	1	0	3	0	0	0	5	0	0	0	4	1	0	0	0	1	0	2	1	1	0	0	3	1	0	0	0	0	0	3	0	2	7	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	1	4	3	0	0	0	0	0	4	14	0	0	0	39	0	0	0	39	3	0	0	3	5	4	3	0	1	0	3	0
Google Blogoscoped	2	2	5	5	4	4	0	1	3	1	1	1	0	3	0	4	2	2	7	1	0	13	0	1	2	1	0	0	2	1	0	1	5	12	7	2	4	0	1	0	2	4	1	2	4	4	3	3	1	1	0	2	0	1	7	1	0	0	4	4	0	4	0	0	0	0	1	0	3	4	7	2	6	6	3	12	1	0	2	1	6	1	1	10	0	5	4	0	1	1	2	1	0	0	2	4	11	0	8	0	36	0	1	2	0	0	2	2	1	1	2	2	3	1	0	0	0	0	2	1	0	18	2	0	1	2	4	8	0	1	0	0	1	0	1	4	2	2	0	8	3	1	4	1	0	0	1	0	0	1	0	2	0	1	1	5	0	3	1	0	0	3	1	0	0	0	3	3	3	0	0	28	3	7	6	3	5	0	6	9	10	1	11	4	7	1	3	0	2	0	2	1	0	2	1	4	0	5	6	4	1	0	2	2	3	1	0	0	0	1	7	5	5	1	0	0	0	0	0	1	6	1	1	1	3	1	2	0	3	2	4	5	0	0	1	4	2	5	0	2	0
Deadspin	3	2	0	2	5	0	1	0	2	0	2	1	1	1	3	5	0	1	2	0	1	2	0	3	2	0	0	2	3	0	1	0	12	9	6	2	25	0	2	1	0	0	0	4	6	2	1	3	0	0	0	1	0	5	10	2	0	1	0	0	4	2	0	0	0	0	2	1	0	0	1	2	4	3	1	2	0	2	1	3	6	0	0	3	1	4	2	2	2	0	0	1	0	1	23	0	7	0	3	1	9	0	0	1	2	0	0	0	0	1	1	10	3	2	1	2	2	3	0	0	0	1	2	0	5	3	1	5	0	0	2	2	0	0	1	1	0	0	1	2	2	2	0	1	0	2	0	2	0	1	0	1	0	2	0	1	0	1	0	1	0	1	2	1	0	2	2	2	0	2	1	0	2	11	2	0	3	0	2	1	2	1	1	0	0	2	0	1	0	1	0	0	0	0	0	2	1	3	4	1	2	0	0	3	2	5	2	2	1	0	1	4	5	0	2	1	0	0	0	6	4	1	0	0	2	0	0	0	0	5	1	0	2	0	2	0	1	3	2	0	0
The Dish	2	1	8	2	0	2	1	3	4	0	8	0	3	5	2	6	7	0	6	12	3	10	1	1	2	0	3	0	5	8	1	2	9	22	8	3	7	0	0	0	0	0	0	1	13	12	1	7	3	2	0	0	0	1	23	1	1	4	3	2	0	0	2	0	1	1	3	2	7	0	8	2	9	4	4	19	2	0	4	0	10	0	1	5	2	6	2	3	4	0	3	5	0	1	11	0	16	0	13	0	20	2	1	0	2	1	2	0	3	0	0	2	1	3	2	1	1	0	0	0	1	39	1	0	1	3	5	2	0	2	1	2	1	2	1	4	1	4	1	2	2	1	11	2	0	0	1	2	2	1	1	4	2	1	0	2	1	3	2	1	0	1	4	0	2	1	3	5	2	2	0	0	3	14	3	12	5	2	0	9	10	1	1	0	17	3	0	0	0	0	1	1	0	0	2	6	0	5	6	5	1	0	0	1	1	0	0	1	2	6	3	3	6	0	1	0	4	2	3	11	7	7	0	0	1	0	0	1	6	3	7	2	5	3	6	2	7	1	0	2	4
kottke.org	31	19	36	13	10	9	13	19	33	2	34	12	10	36	1	37	13	9	42	24	3	41	8	9	14	17	17	8	14	26	12	11	34	97	71	7	48	1	22	15	21	17	3	8	50	58	25	23	17	6	27	7	12	8	100	12	4	7	19	3	5	0	9	6	8	2	19	14	19	22	52	11	54	35	42	70	2	10	3	18	88	15	4	34	17	55	27	16	31	1	12	14	7	10	14	5	55	3	26	14	100	9	10	5	2	4	7	15	3	4	8	4	40	14	2	3	4	15	3	2	16	176	22	3	3	77	15	23	14	9	18	9	4	2	4	20	20	14	11	35	10	7	45	7	2	0	8	3	2	24	19	17	8	41	6	11	5	18	7	4	6	19	14	6	7	10	3	27	4	10	6	0	14	60	10	7	67	10	45	48	72	9	21	0	56	11	7	7	0	3	6	2	2	6	2	24	1	45	20	43	7	0	5	3	19	10	10	4	4	1	54	46	64	9	8	1	8	6	13	51	73	8	8	7	3	8	14	12	41	36	42	39	15	9	36	20	17	18	3	12	7
O'Reilly Radar	0	0	0	3	0	0	0	1	1	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	3	1	2	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	1	3	2	1	0	0	0	0	0	2	0	1	0	0	2	1	0	1	0	1	0	1	2	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	1	1	0	0	2	0	1	0	7	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0	2	1	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0
Lifehacker	0	1	4	2	6	1	0	0	2	1	1	0	0	1	0	4	0	1	2	1	1	7	2	1	2	1	1	0	5	1	0	0	8	1	9	0	32	0	1	3	1	2	0	1	5	5	1	8	1	1	0	1	2	1	15	2	0	0	3	0	3	3	0	0	0	1	4	3	1	2	1	3	3	4	3	1	5	1	0	1	4	0	0	6	0	2	1	0	3	0	1	1	0	0	25	2	14	0	20	3	18	0	3	0	0	3	3	0	1	2	0	1	2	0	1	1	0	2	1	0	2	27	0	0	2	5	3	3	2	0	0	0	0	0	1	3	2	0	2	5	3	2	6	0	0	3	1	1	0	1	0	0	1	1	2	4	3	0	0	2	1	0	0	0	1	1	0	2	1	0	1	2	1	6	2	2	9	0	2	4	8	1	3	3	13	3	0	0	0	0	0	2	1	0	2	2	0	1	5	4	1	0	3	2	2	0	1	4	1	0	7	2	6	0	0	0	0	1	0	1	4	0	1	0	1	2	0	2	4	3	2	3	1	2	1	1	2	1	2	0	0
Google Operating System	7	3	0	3	1	2	2	1	2	1	16	1	4	2	2	1	0	0	6	0	0	8	0	1	1	1	4	0	2	2	0	0	13	11	4	0	14	0	3	1	9	4	2	1	16	10	3	5	0	0	3	1	1	5	18	0	5	1	5	4	2	3	2	0	0	0	0	2	3	3	6	4	4	4	1	8	2	2	1	1	6	3	2	23	5	7	16	2	5	0	10	3	0	1	1	5	10	0	20	1	66	2	2	1	0	1	1	2	3	5	0	2	6	7	2	2	4	0	2	1	0	13	2	0	6	0	4	24	0	2	0	1	0	2	0	3	3	0	0	11	2	5	1	3	0	0	1	0	0	0	0	5	1	0	2	15	2	3	3	0	2	0	0	2	0	0	0	3	1	0	0	108	4	22	7	3	3	0	17	10	7	1	0	0	3	1	4	0	1	0	0	0	0	2	1	2	0	1	6	15	1	0	2	3	3	0	0	0	0	2	27	7	3	1	0	0	0	0	0	0	11	5	4	0	7	1	2	2	2	7	3	12	1	1	13	9	4	2	0	0	0
Celebslam	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	17	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	10	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Mashable	5	2	1	10	23	4	4	1	6	1	17	2	1	2	1	8	2	0	5	6	2	7	2	0	3	3	1	3	2	9	23	2	21	26	25	0	70	8	13	2	23	16	1	1	6	16	5	11	4	2	3	1	0	2	15	2	0	0	2	0	4	3	0	1	0	1	2	3	2	2	2	3	8	13	1	16	0	15	3	1	28	0	4	3	1	9	1	7	8	3	2	0	2	5	30	0	12	0	9	3	12	1	6	1	6	8	1	2	6	5	6	0	5	1	9	2	2	7	1	2	12	7	1	7	3	6	2	15	3	0	0	1	1	0	2	0	2	3	0	11	0	4	2	0	2	10	0	1	0	2	0	17	0	3	7	6	0	0	1	1	0	3	0	3	0	1	0	8	1	3	1	6	4	6	2	1	4	1	15	40	18	0	2	13	2	2	0	1	0	1	3	2	0	11	0	9	0	12	8	5	3	0	1	1	3	2	4	0	2	0	2	5	18	4	1	1	3	1	1	14	8	3	4	0	0	4	2	3	3	7	4	5	0	7	2	4	3	4	2	2	5
TechEBlog	2	0	1	2	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	4	0	0	6	1	2	0	3	2	1	0	1	0	1	0	1	3	0	2	0	0	1	0	2	0	6	0	3	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	3	5	0	1	6	0	0	0	1	0	0	1	0	0	2	0	3	0	3	0	0	0	0	3	0	0	1	0	7	0	0	1	1	0	0	0	0	2	0	2	2	0	4	0	1	0	0	0	0	0	0	0	0	0	1	9	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	1	0	1	0	4	1	4	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	2	1	1	0	3	2	0	0	0	0	0
Gizmodo	0	2	1	0	11	3	0	0	1	0	6	1	0	1	0	2	1	0	4	1	0	6	0	1	0	0	0	0	1	0	0	0	6	7	10	0	31	1	12	4	3	0	0	0	4	4	6	3	0	1	0	0	0	0	6	2	0	1	3	0	2	1	0	0	0	0	2	3	0	0	2	1	1	3	1	4	0	0	0	0	7	0	0	5	2	4	1	3	3	0	0	0	0	0	25	1	4	0	5	0	9	2	0	1	2	2	1	1	1	2	0	1	2	1	3	2	1	0	0	1	0	7	0	0	0	0	1	6	2	0	0	1	0	0	0	0	1	2	1	1	1	2	2	1	3	3	0	0	0	0	0	3	2	2	0	2	0	0	0	0	0	1	0	0	2	0	2	1	0	1	1	3	2	8	2	0	5	2	4	4	8	1	2	7	2	1	0	1	1	0	5	1	0	1	1	6	2	0	0	3	0	0	0	0	1	0	1	4	0	0	6	0	4	2	0	1	2	0	0	2	3	5	0	0	0	0	0	3	1	8	0	0	0	5	3	1	0	1	1	0	0
Slashdot	2	1	2	2	2	5	0	1	4	1	17	1	2	4	2	7	0	3	10	4	1	10	1	1	0	3	4	4	4	6	0	1	22	32	33	2	28	18	20	1	8	2	2	0	16	21	8	5	7	1	1	2	2	4	34	14	5	1	2	1	10	4	1	4	3	3	1	3	4	4	16	5	2	8	3	5	1	0	1	6	17	0	0	18	4	9	1	9	7	2	7	6	0	1	15	3	14	4	6	3	6	2	10	1	2	0	1	2	1	2	1	0	8	2	4	0	5	0	0	3	0	2	3	0	0	1	6	21	1	0	5	3	0	0	1	1	0	4	2	9	4	4	0	3	1	1	0	0	3	2	0	11	0	12	1	1	2	4	3	0	4	11	6	1	0	2	2	6	1	2	3	0	0	34	1	3	20	1	8	6	10	3	5	6	0	4	2	2	1	5	3	1	16	3	0	11	0	3	3	11	1	0	0	1	6	3	1	6	5	1	8	5	6	2	3	3	16	1	2	0	18	3	2	2	4	4	1	2	9	14	12	13	0	4	10	11	0	2	2	7	0
Guy Kawasaki	2	1	6	1	0	0	0	0	0	2	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	3	0	0	2	1	0	1	2	3	1	1	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	5	0	0	0	12	0	1	0	0	1	0	2	0	0	2	2	2	1	1	3	0	0	3	0	3	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	11	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	3	1	0	2	0	0	0	2	0	0	0	0	10	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	4	0	3	3	0	3	1	1	0	1	0	3	0	0	0	0	2	2	0	0	0	0	0	1	1	0	1	0	0	0	1	2	0	1	0	0	0	3	5	1	0	0	0	0	1	0	0	8	0	0	1	1	0	0	0	0	0	2	0	4	2	1	1	0	3	0	0	0
Seth Godin's Blog on marketing, tribes and respect	1	0	1	3	0	0	0	0	0	3	3	2	0	1	0	2	0	0	0	0	0	1	1	0	0	1	1	2	0	0	0	1	2	2	6	0	0	0	1	1	0	0	0	0	1	1	2	3	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	3	0	2	7	0	0	0	4	0	2	0	2	0	3	0	0	1	0	2	0	0	1	0	0	2	0	6	0	12	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	2	0	0	4	0	2	0	3	1	1	0	0	2	0	0	1	0	1	2	0	0	5	1	0	1	1	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	3	1	2	4	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	7	2	1	0	0	0	1	0	0	2	0	1	0	5	3	3	0	0	0	0	2	2	0	5	0	1	0	0	0	1	0	3	1	0	1	0	0	0	1	1	1	0	3	0
